seed,absolute_min_distance,target_gap_to_black,final_step,final_cv_nnd,pigment_count,yellow_fraction,red_fraction,black_fraction,order_score
7,1.5,3.0,119,0.23065106141049177,195,0.3230769230769231,0.035897435897435895,0.6410256410256411,1.570614846702891
17,1.5,3.0,119,0.2311821044411116,192,0.328125,0.041666666666666664,0.6302083333333334,1.423326347299322
27,1.5,3.0,119,0.2447543159700274,193,0.3316062176165803,0.03626943005181347,0.6321243523316062,1.4391958184735127
7,1.5,4.0,119,0.2158601510672638,197,0.3096446700507614,0.025380710659898477,0.6649746192893401,1.986030662870484
17,1.5,4.0,119,0.23795043574149222,198,0.3333333333333333,0.03535353535353535,0.6313131313131313,1.566762431818893
27,1.5,4.0,119,0.24156243536951816,202,0.3069306930693069,0.034653465346534656,0.6584158415841584,1.7012762407786635
7,1.5,5.0,119,0.22931751016983754,197,0.3147208121827411,0.030456852791878174,0.6548223350253807,1.7455987410658353
17,1.5,5.0,119,0.2517095538447965,198,0.30303030303030304,0.06060606060606061,0.6363636363636364,1.1695806333504866
27,1.5,5.0,119,0.23694946304536357,200,0.3,0.03,0.67,1.8208320729561036
7,1.5,6.0,119,0.2512937055248585,191,0.28272251308900526,0.031413612565445025,0.6858638743455497,1.5687171984847277
17,1.5,6.0,119,0.23358971114831398,197,0.2893401015228426,0.03553299492385787,0.6751269035532995,1.7144819469014534
27,1.5,6.0,119,0.253055541616575,196,0.2857142857142857,0.03571428571428571,0.6785714285714286,1.5757199423295603
7,1.5,7.0,119,0.2561962055182622,186,0.3010752688172043,0.026881720430107527,0.6720430107526881,1.4813302568117335
17,1.5,7.0,119,0.26604166327999357,188,0.31382978723404253,0.026595744680851064,0.6595744680851063,1.4504183911501096
27,1.5,7.0,119,0.25963061942060234,186,0.3118279569892473,0.026881720430107527,0.6612903225806451,1.454636859446544
7,2.0,3.0,119,0.208692929728122,191,0.3193717277486911,0.02617801047120419,0.6544502617801047,1.876292828492276
17,2.0,3.0,119,0.20756174635606384,189,0.32275132275132273,0.026455026455026454,0.6507936507936508,1.851762017920744
27,2.0,3.0,119,0.22011802408682787,187,0.3048128342245989,0.0374331550802139,0.6577540106951871,1.5557109894902106
7,2.0,4.0,119,0.21632215747177128,195,0.30256410256410254,0.046153846153846156,0.6512820512820513,1.5454142148445402
17,2.0,4.0,119,0.2227969472330532,194,0.30412371134020616,0.03608247422680412,0.6597938144329897,1.6860899068608912
27,2.0,4.0,119,0.21332753269443455,197,0.3299492385786802,0.025380710659898477,0.6446700507614214,1.9598449434376097
7,2.0,5.0,119,0.2268779245814771,199,0.3065326633165829,0.03015075376884422,0.6633165829145728,1.833809201050898
17,2.0,5.0,119,0.23641800775025665,195,0.2923076923076923,0.035897435897435895,0.6717948717948717,1.644412477108197
27,2.0,5.0,119,0.23664916736943795,194,0.31958762886597936,0.020618556701030927,0.6597938144329897,1.8479534046989896
7,2.0,6.0,119,0.22965971195418022,190,0.3,0.042105263157894736,0.6578947368421053,1.4529569167859362
17,2.0,6.0,119,0.22571460489209016,187,0.3155080213903743,0.0213903743315508,0.6631016042780749,1.789857019262761
27,2.0,6.0,119,0.23868886307184023,190,0.30526315789473685,0.03684210526315789,0.6578947368421053,1.4931229304917983
7,2.0,7.0,119,0.23161286664681172,179,0.26256983240223464,0.0446927374301676,0.6927374301675978,1.3026534026205079
17,2.0,7.0,119,0.22563730452892022,175,0.24571428571428572,0.04,0.7142857142857143,1.3084109611400225
27,2.0,7.0,119,0.23535859360514916,182,0.2857142857142857,0.03296703296703297,0.6813186813186813,1.4947809156307208
7,2.5,3.0,119,0.19502051782204402,188,0.35106382978723405,0.031914893617021274,0.6170212765957447,1.7053696196537622
17,2.5,3.0,119,0.18438172229892716,183,0.32786885245901637,0.03278688524590164,0.639344262295082,1.7865660484781078
27,2.5,3.0,119,0.18088434333303482,180,0.3333333333333333,0.022222222222222223,0.6444444444444445,1.9661258123823746
7,2.5,4.0,119,0.18554750765409017,192,0.3385416666666667,0.026041666666666668,0.6354166666666666,2.05928769992575
17,2.5,4.0,119,0.20089999561745156,192,0.3229166666666667,0.057291666666666664,0.6197916666666666,1.3777084253966352
27,2.5,4.0,119,0.17721972272504152,190,0.3157894736842105,0.03684210526315789,0.6473684210526316,1.9712459082320797
7,2.5,5.0,119,0.19312342934074542,189,0.31216931216931215,0.031746031746031744,0.656084656084656,1.883700832506344
17,2.5,5.0,119,0.20112783276436613,190,0.3105263157894737,0.05789473684210526,0.631578947368421,1.3703854028578621
27,2.5,5.0,119,0.20007454440607234,187,0.32085561497326204,0.0374331550802139,0.6417112299465241,1.6599685900043877
7,2.5,6.0,119,0.19399600927883692,186,0.3118279569892473,0.03763440860215054,0.6505376344086021,1.6920557384034864
17,2.5,6.0,119,0.19407897725321852,184,0.32065217391304346,0.03804347826086957,0.6413043478260869,1.6385084885504837
27,2.5,6.0,119,0.19393491370623672,183,0.3114754098360656,0.02185792349726776,0.6666666666666666,1.9928404888263846
7,2.5,7.0,119,0.19934452304605327,173,0.2832369942196532,0.03468208092485549,0.6820809248554913,1.5178792544630235
17,2.5,7.0,119,0.21321601022166733,180,0.29444444444444445,0.05,0.6555555555555556,1.2977790128494537
27,2.5,7.0,119,0.19445168081723338,178,0.3258426966292135,0.02247191011235955,0.651685393258427,1.8028105019144374
7,3.0,3.0,119,0.1628192116079318,177,0.327683615819209,0.05649717514124294,0.615819209039548,1.3985338914568637
17,3.0,3.0,119,0.16597219955087178,180,0.32222222222222224,0.027777777777777776,0.65,2.048960113159908
27,3.0,3.0,119,0.16787175856727518,181,0.32044198895027626,0.049723756906077346,0.6298342541436464,1.594927073859053
7,3.0,4.0,119,0.1573370423253395,184,0.33152173913043476,0.043478260869565216,0.625,1.8304064962982094
17,3.0,4.0,119,0.17691860971513831,183,0.3224043715846995,0.0273224043715847,0.6502732240437158,2.0056544474419344
27,3.0,4.0,119,0.1557089008413403,182,0.3131868131868132,0.054945054945054944,0.6318681318681318,1.6614388699164542
7,3.0,5.0,119,0.16379927217514811,187,0.31016042780748665,0.026737967914438502,0.6631016042780749,2.3091725763586544
17,3.0,5.0,119,0.16760533842953035,183,0.31693989071038253,0.0273224043715847,0.6557377049180327,2.1392051936066703
27,3.0,5.0,119,0.1491173459014596,180,0.3,0.044444444444444446,0.6555555555555556,1.9614992533965585
7,3.0,6.0,119,0.15571721305637812,183,0.32786885245901637,0.03825136612021858,0.6338797814207651,1.956425929857596
17,3.0,6.0,119,0.16325659447829727,179,0.3128491620111732,0.0223463687150838,0.664804469273743,2.229709213102846
27,3.0,6.0,119,0.16753657059468133,179,0.30726256983240224,0.05027932960893855,0.6424581005586593,1.5880925639261785
7,3.0,7.0,119,0.16981446501427164,175,0.3028571428571429,0.045714285714285714,0.6514285714285715,1.5545239629353353
17,3.0,7.0,119,0.1893119797164408,171,0.2982456140350877,0.04093567251461988,0.6608187134502924,1.4275317693407314
27,3.0,7.0,119,0.15160500796030785,172,0.29069767441860467,0.05232558139534884,0.6569767441860465,1.6085864872785485
7,3.5,3.0,119,0.15114679939044967,169,0.3076923076923077,0.04142011834319527,0.650887573964497,1.6703363096306405
17,3.5,3.0,119,0.12214087246105611,170,0.32941176470588235,0.041176470588235294,0.6294117647058823,2.0482889666552455
27,3.5,3.0,119,0.13624753998861,170,0.3,0.041176470588235294,0.6588235294117647,1.9459866011880027
7,3.5,4.0,119,0.13229081006264407,175,0.32571428571428573,0.04,0.6342857142857142,2.041082428553206
17,3.5,4.0,119,0.12315316179739538,177,0.3389830508474576,0.03954802259887006,0.6214689265536724,2.2388303514507
27,3.5,4.0,119,0.13192320443546038,176,0.29545454545454547,0.045454545454545456,0.6590909090909091,2.0971523622121153
7,3.5,5.0,119,0.13565467196810313,180,0.3333333333333333,0.044444444444444446,0.6222222222222222,1.989044677697008
17,3.5,5.0,119,0.12205069153228776,184,0.34782608695652173,0.059782608695652176,0.592391304347826,1.90913986623004
27,3.5,5.0,119,0.1328525776300665,178,0.30337078651685395,0.06179775280898876,0.6348314606741573,1.7409151198037554
7,3.5,6.0,119,0.13275819105365763,178,0.3258426966292135,0.016853932584269662,0.6573033707865169,2.7742562195045597
17,3.5,6.0,119,0.1307218555580145,173,0.3063583815028902,0.05202312138728324,0.6416184971098265,1.8404080352254453
27,3.5,6.0,119,0.1256439282093042,171,0.27485380116959063,0.04678362573099415,0.6783625730994152,2.1009457126685076
7,3.5,7.0,119,0.14841673353198556,162,0.2777777777777778,0.030864197530864196,0.691358024691358,1.824153261201198
17,3.5,7.0,119,0.1449535394239039,163,0.294478527607362,0.049079754601226995,0.656441717791411,1.5147433053409478
27,3.5,7.0,119,0.13656153461339274,166,0.2891566265060241,0.05421686746987952,0.6566265060240963,1.6045339094343403
7,4.0,3.0,119,0.11472859614604462,158,0.3291139240506329,0.0379746835443038,0.6329113924050633,1.8496281608476208
17,4.0,3.0,119,0.11693139006783987,159,0.3584905660377358,0.012578616352201259,0.6289308176100629,2.383129667008068
27,4.0,3.0,119,0.1181194321998452,157,0.3057324840764331,0.050955414012738856,0.643312101910828,1.6175997969949798
7,4.0,4.0,119,0.1072848335430171,163,0.3067484662576687,0.03067484662576687,0.6625766871165644,2.4377214923109642
17,4.0,4.0,119,0.11049178293281978,167,0.3532934131736527,0.03592814371257485,0.6107784431137725,2.1955340788872464
27,4.0,4.0,119,0.10521511852766716,166,0.3373493975903614,0.05421686746987952,0.608433734939759,1.8943592727019347
7,4.0,5.0,119,0.12229715928640694,165,0.3090909090909091,0.03636363636363636,0.6545454545454545,2.0559051033177056
17,4.0,5.0,119,0.11477367535334226,167,0.3413173652694611,0.029940119760479042,0.6287425149700598,2.3235547239650085
27,4.0,5.0,119,0.11667219760410448,169,0.33727810650887574,0.03550295857988166,0.6272189349112426,2.2267222601900776
7,4.0,6.0,119,0.1100461873359119,164,0.31097560975609756,0.024390243902439025,0.6646341463414634,2.5766381565695577
17,4.0,6.0,119,0.11007200676579816,162,0.32098765432098764,0.037037037037037035,0.6419753086419753,2.1481124752522462
27,4.0,6.0,119,0.11873132182156837,167,0.3413173652694611,0.029940119760479042,0.6287425149700598,2.249267042005221
7,4.0,7.0,119,0.12029100204424732,158,0.310126582278481,0.04430379746835443,0.6455696202531646,1.6999089893924464
17,4.0,7.0,119,0.12726999770794858,159,0.3081761006289308,0.03773584905660377,0.6540880503144654,1.7993449299860074
27,4.0,7.0,119,0.11791870014766244,154,0.2922077922077922,0.05194805194805195,0.6558441558441559,1.5618584617148792
